set	activity	metric	direction	mean	std
test	STANDING	fBodyAcc	X	-0.978289100733083	-0.984014116334586
test	STANDING	fBodyAcc	Y	-0.935336432838346	-0.922115261618421
test	STANDING	fBodyAcc	Z	-0.952981901785714	-0.928665948665414
test	STANDING	fBodyAccJerk	X	-0.975829558834586	-0.977860039473684
test	STANDING	fBodyAccJerk	Y	-0.958388878139098	-0.961841590695489
test	STANDING	fBodyAccJerk	Z	-0.972891029661654	-0.979166264097744
test	STANDING	fBodyAccMag		-0.949774215169173	-0.943924405018797
test	STANDING	fBodyBodyAccJerkMag		-0.965635777255639	-0.965905446015038
test	STANDING	fBodyBodyGyroJerkMag		-0.968115551522556	-0.967361696372181
test	STANDING	fBodyBodyGyroMag		-0.935236448120301	-0.914716719605263
test	STANDING	fBodyGyro	X	-0.929640505827068	-0.933147031785714
test	STANDING	fBodyGyro	Y	-0.958267475281955	-0.952000106052632
test	STANDING	fBodyGyro	Z	-0.950343429605263	-0.953564673195489
test	STANDING	tBodyAcc	X	0.278791235789474	-0.982080518496241
test	STANDING	tBodyAcc	Y	-0.0162262731035301	-0.923457376973684
test	STANDING	tBodyAcc	Z	-0.10466868287406	-0.933595536629699
test	STANDING	tBodyAccJerk	X	0.075468957712782	-0.975695739736842
test	STANDING	tBodyAccJerk	Y	0.00888523101716541	-0.958496662406015
test	STANDING	tBodyAccJerk	Z	-0.00641548605615977	-0.976671984022556
test	STANDING	tBodyAccJerkMag		-0.972931858515038	-0.966123790845865
test	STANDING	tBodyAccMag		-0.947440893270677	-0.940038000263158
test	STANDING	tBodyGyro	X	-0.0276270984325752	-0.931444571390977
test	STANDING	tBodyGyro	Y	-0.0719404272818233	-0.953936289642857
test	STANDING	tBodyGyro	Z	0.0836650240665414	-0.949165841541353
test	STANDING	tBodyGyroJerk	X	-0.100461129155075	-0.960413190958647
test	STANDING	tBodyGyroJerk	Y	-0.0419899598712406	-0.975663792180451
test	STANDING	tBodyGyroJerk	Z	-0.0528522741647744	-0.972075062631579
test	STANDING	tBodyGyroJerkMag		-0.973808504699248	-0.966851556766917
test	STANDING	tBodyGyroMag		-0.929095799830827	-0.91301937112782
test	STANDING	tGravityAcc	X	0.943091097537594	-0.987356506654135
test	STANDING	tGravityAcc	Y	-0.189637522767538	-0.96572940268797
test	STANDING	tGravityAcc	Z	0.0204009151990789	-0.947266767753759
test	STANDING	tGravityAccMag		-0.947440893270677	-0.940038000263158
test	SITTING	fBodyAcc	X	-0.982716887922607	-0.983935781955193
test	SITTING	fBodyAcc	Y	-0.945651716354379	-0.928826696148676
test	SITTING	fBodyAcc	Z	-0.955853613588595	-0.933819490450509
